,UF,ACESSO_CEL,ACESSO_TABL,TEM_3G
93132,35,2.0,2.0,2.0
93133,35,2.0,2.0,2.0
93135,35,2.0,4.0,2.0
93140,35,2.0,4.0,4.0
93143,35,2.0,4.0,2.0
93147,35,2.0,4.0,2.0
93148,35,2.0,4.0,2.0
93149,35,2.0,4.0,2.0
93150,35,4.0,4.0,4.0
93156,35,2.0,4.0,2.0
93157,35,2.0,4.0,2.0
93160,35,2.0,2.0,4.0
93161,35,2.0,4.0,2.0
93167,35,4.0,4.0,4.0
93171,35,4.0,4.0,4.0
93172,35,2.0,2.0,2.0
93173,35,2.0,4.0,2.0
93175,35,2.0,4.0,2.0
93176,35,2.0,2.0,2.0
93177,35,2.0,4.0,2.0
93178,35,2.0,4.0,2.0
93179,35,2.0,4.0,2.0
93182,35,2.0,2.0,4.0
93184,35,4.0,4.0,4.0
93186,35,4.0,4.0,2.0
93187,35,2.0,4.0,4.0
93190,35,2.0,4.0,2.0
93193,35,2.0,2.0,2.0
93194,35,2.0,4.0,2.0
93195,35,2.0,4.0,2.0
93196,35,2.0,2.0,2.0
93197,35,2.0,4.0,2.0
93198,35,4.0,4.0,4.0
93201,35,4.0,4.0,4.0
93204,35,2.0,4.0,2.0
93205,35,2.0,4.0,2.0
93207,35,2.0,4.0,2.0
93210,35,4.0,4.0,2.0
93211,35,2.0,4.0,2.0
93213,35,2.0,4.0,4.0
93219,35,2.0,4.0,2.0
93222,35,2.0,4.0,2.0
93224,35,4.0,4.0,4.0
93226,35,2.0,4.0,2.0
93228,35,2.0,4.0,2.0
93229,35,2.0,4.0,2.0
93231,35,2.0,4.0,2.0
93233,35,2.0,4.0,2.0
93234,35,2.0,4.0,2.0
93237,35,2.0,4.0,2.0
93238,35,2.0,2.0,2.0
93241,35,2.0,4.0,2.0
93242,35,2.0,2.0,2.0
93243,35,2.0,4.0,2.0
93244,35,2.0,4.0,2.0
93249,35,2.0,4.0,2.0
93263,35,2.0,4.0,2.0
93267,35,2.0,2.0,2.0
93271,35,2.0,4.0,2.0
93272,35,2.0,4.0,2.0
93274,35,2.0,4.0,2.0
93275,35,2.0,4.0,2.0
93276,35,2.0,4.0,2.0
93279,35,2.0,4.0,2.0
93284,35,2.0,4.0,2.0
93285,35,2.0,4.0,2.0
93288,35,2.0,4.0,2.0
93289,35,2.0,4.0,2.0
93293,35,2.0,2.0,2.0
93295,35,2.0,4.0,2.0
93297,35,2.0,4.0,2.0
93307,35,2.0,4.0,2.0
93309,35,2.0,4.0,2.0
93310,35,2.0,4.0,2.0
93316,35,2.0,4.0,2.0
93318,35,2.0,4.0,2.0
93319,35,2.0,4.0,2.0
93320,35,2.0,2.0,2.0
93323,35,2.0,4.0,2.0
93325,35,2.0,4.0,2.0
93326,35,2.0,4.0,2.0
93333,35,4.0,4.0,2.0
93334,35,2.0,4.0,2.0
93337,35,2.0,4.0,2.0
93343,35,2.0,4.0,2.0
93344,35,2.0,2.0,2.0
93345,35,4.0,4.0,2.0
93346,35,2.0,4.0,2.0
93348,35,2.0,4.0,2.0
93350,35,2.0,4.0,2.0
93352,35,2.0,4.0,2.0
93353,35,4.0,4.0,2.0
93354,35,2.0,2.0,2.0
93355,35,2.0,4.0,2.0
93357,35,2.0,4.0,2.0
93358,35,2.0,4.0,2.0
93359,35,2.0,4.0,2.0
93360,35,2.0,2.0,2.0
93361,35,2.0,4.0,2.0
93362,35,4.0,4.0,4.0
93363,35,2.0,4.0,2.0
93364,35,2.0,2.0,2.0
93367,35,2.0,2.0,2.0
93369,35,2.0,4.0,2.0
93371,35,2.0,4.0,2.0
93373,35,2.0,2.0,2.0
93374,35,2.0,4.0,2.0
93375,35,2.0,4.0,2.0
93377,35,2.0,4.0,2.0
93380,35,2.0,4.0,2.0
93382,35,2.0,4.0,2.0
93383,35,2.0,2.0,2.0
93384,35,2.0,4.0,2.0
93386,35,2.0,2.0,2.0
93392,35,2.0,4.0,4.0
93395,35,2.0,4.0,2.0
93396,35,2.0,4.0,2.0
93397,35,2.0,2.0,2.0
93398,35,2.0,2.0,2.0
93400,35,2.0,4.0,2.0
93402,35,2.0,4.0,4.0
93404,35,2.0,2.0,2.0
93406,35,2.0,4.0,4.0
93407,35,4.0,4.0,4.0
93408,35,2.0,2.0,2.0
93410,35,2.0,4.0,4.0
93411,35,2.0,2.0,4.0
93414,35,2.0,4.0,2.0
93415,35,2.0,2.0,4.0
93416,35,2.0,2.0,2.0
93417,35,2.0,2.0,2.0
93419,35,2.0,4.0,2.0
93420,35,2.0,4.0,2.0
93421,35,2.0,4.0,2.0
93422,35,2.0,4.0,4.0
93424,35,2.0,4.0,2.0
93425,35,4.0,4.0,4.0
93426,35,4.0,4.0,2.0
93429,35,4.0,4.0,2.0
93430,35,2.0,4.0,2.0
93431,35,2.0,4.0,2.0
93432,35,4.0,4.0,4.0
93433,35,2.0,4.0,2.0
93434,35,2.0,4.0,2.0
93435,35,2.0,4.0,2.0
93436,35,4.0,4.0,2.0
93437,35,2.0,4.0,4.0
93438,35,2.0,4.0,2.0
93439,35,2.0,2.0,2.0
93441,35,2.0,4.0,4.0
93442,35,2.0,2.0,2.0
93445,35,2.0,4.0,2.0
93447,35,2.0,4.0,2.0
93448,35,2.0,4.0,2.0
93449,35,2.0,4.0,2.0
93450,35,4.0,4.0,4.0
93452,35,2.0,4.0,2.0
93454,35,2.0,4.0,2.0
93455,35,2.0,4.0,2.0
93460,35,2.0,4.0,2.0
93464,35,2.0,4.0,2.0
93465,35,2.0,4.0,2.0
93471,35,2.0,4.0,4.0
93480,35,2.0,4.0,4.0
93487,35,2.0,4.0,2.0
93490,35,2.0,4.0,2.0
93493,35,2.0,4.0,2.0
93494,35,4.0,4.0,2.0
93498,35,2.0,4.0,2.0
93499,35,2.0,4.0,2.0
93501,35,2.0,4.0,2.0
93503,35,2.0,4.0,2.0
93505,35,2.0,4.0,2.0
93508,35,2.0,2.0,2.0
93509,35,2.0,4.0,2.0
93510,35,2.0,2.0,2.0
