,V061112,V061113,V06112,V8005,V6003
0,1.0,1.0,1.0,51,-
1,1.0,1.0,1.0,40,-
2,1.0,1.0,1.0,53,-
3,1.0,1.0,1.0,56,-
4,-,-,3.0,71,-
5,1.0,1.0,1.0,24,5.0
6,-,-,1.0,63,-
7,-,-,3.0,63,-
8,-,-,3.0,92,-
9,1.0,2.0,1.0,56,-
10,1.0,1.0,1.0,24,-
11,-,-,1.0,75,-
12,1.0,2.0,1.0,73,-
13,1.0,1.0,1.0,68,-
14,-,-,3.0,77,-
15,1.0,1.0,1.0,45,-
16,-,-,1.0,50,-
17,1.0,2.0,3.0,46,-
18,1.0,1.0,1.0,48,-
19,1.0,1.0,1.0,27,-
20,1.0,1.0,1.0,23,-
21,1.0,1.0,1.0,60,-
22,1.0,1.0,1.0,62,-
23,1.0,2.0,1.0,65,-
24,-,-,3.0,66,-
25,-,-,1.0,69,-
26,-,-,1.0,60,-
27,-,-,1.0,33,-
28,-,-,1.0,54,-
29,-,-,1.0,30,-
30,-,-,1.0,68,-
31,-,-,1.0,64,-
32,-,-,1.0,51,-
33,-,-,1.0,40,-
34,-,-,3.0,12,1.0
35,2.0,1.0,1.0,30,-
36,2.0,1.0,1.0,27,-
37,-,-,-,0,-
38,1.0,1.0,1.0,52,-
39,1.0,1.0,1.0,19,5.0
40,1.0,1.0,1.0,18,2.0
41,-,-,3.0,79,-
42,1.0,1.0,1.0,38,-
43,1.0,2.0,1.0,37,-
44,-,-,-,2,7.0
45,1.0,2.0,1.0,55,-
46,1.0,2.0,1.0,49,-
47,1.0,1.0,1.0,26,-
48,1.0,1.0,1.0,20,5.0
49,-,-,3.0,72,-
50,-,-,1.0,67,-
51,-,-,3.0,68,-
52,-,-,1.0,65,-
53,-,-,1.0,53,-
54,-,-,3.0,77,-
55,-,-,1.0,30,-
56,2.0,1.0,1.0,32,-
57,-,-,3.0,69,-
58,1.0,2.0,1.0,71,-
59,-,-,1.0,50,-
60,-,-,1.0,72,-
61,-,-,3.0,65,-
62,-,-,1.0,71,-
63,-,-,3.0,68,-
64,2.0,1.0,1.0,27,-
65,-,-,3.0,46,-
66,1.0,2.0,3.0,59,-
67,1.0,2.0,1.0,54,-
68,1.0,2.0,1.0,21,5.0
69,-,-,1.0,63,-
70,2.0,2.0,1.0,61,-
71,1.0,1.0,1.0,36,-
72,-,-,-,5,9.0
73,1.0,2.0,1.0,58,-
74,1.0,1.0,1.0,83,-
75,1.0,1.0,1.0,15,1.0
76,2.0,1.0,1.0,54,-
